age,income,loan_amount,credit_score,years_employed,num_credit_lines,debt_ratio,defaulted
56,34376.0,31161.5,802,5,4,0.6,0
69,46571.0,40135.35,395,3,1,0.93,0
46,29951.0,13629.81,406,2,3,0.17,1
32,44812.0,7252.9,331,6,3,0.52,0
60,23572.0,44313.52,792,6,1,0.16,0
25,33845.0,8399.95,365,15,3,0.44,0
38,42543.0,16100.98,478,1,0,0.2,0
56,39928.0,36289.35,742,7,2,0.84,1
36,16273.0,23425.16,848,14,4,0.25,0
40,29158.0,44434.13,500,26,6,0.42,0
28,84013.0,18409.09,348,15,3,0.41,0
28,28390.0,5534.21,562,0,3,0.87,0
41,36604.0,18529.5,432,26,0,0.76,0
53,34774.0,31013.38,643,9,7,0.06,0
57,79548.0,21917.23,475,6,3,0.07,0
41,69230.0,29069.27,690,15,4,0.55,0
20,54381.0,44446.92,310,9,5,0.43,0
39,22323.0,46061.83,500,11,2,0.28,0
19,43460.0,16968.83,302,16,0,0.79,1
41,48241.0,25796.32,513,12,1,0.13,1
61,25609.0,29711.48,606,11,1,0.97,0
47,23500.0,47710.06,843,14,2,0.02,0
55,85179.0,49937.78,626,13,2,0.12,0
19,31244.0,15593.33,498,18,3,0.31,0
38,81429.0,37714.09,408,18,2,0.51,0
50,59787.0,22011.4,590,25,3,0.22,0
29,44531.0,5364.87,407,13,3,0.74,0
39,45536.0,5416.36,707,17,6,0.36,0
61,18030.0,25725.47,351,29,4,0.04,0
42,40271.0,26975.07,411,25,4,0.88,0
66,73755.0,6015.64,594,28,1,0.94,0
44,51056.0,35911.73,488,4,0,0.62,0
59,39229.0,18230.15,364,19,4,0.81,0
45,85474.0,30195.19,764,28,2,0.12,0
33,33106.0,18541.36,557,5,7,0.27,0
32,26641.0,12521.04,630,17,3,0.33,0
64,39219.0,23322.82,800,13,1,0.96,1
68,53276.0,15452.3,509,3,1,0.51,0
61,15384.0,29066.04,388,27,4,0.01,0
69,41875.0,13947.28,327,22,3,0.38,0
20,54457.0,27878.27,537,0,4,0.01,0
54,31735.0,12082.03,635,12,3,0.24,0
68,63164.0,35193.86,362,10,2,0.45,0
24,50041.0,38927.2,799,2,0,0.32,1
38,105947.0,9967.74,840,16,1,0.03,0
26,24952.0,26051.11,768,17,3,0.12,0
56,55015.0,8189.23,350,24,3,0.55,0
35,21836.0,31918.21,411,9,3,0.7,0
21,16193.0,16898.19,600,15,1,0.4,0
42,13124.0,28743.1,389,20,6,0.73,0
31,47532.0,28285.75,528,12,2,0.16,0
67,39820.0,46595.95,449,19,2,0.12,0
26,28580.0,29708.75,437,11,5,0.84,0
43,14962.0,31234.93,434,3,4,0.34,0
19,25714.0,23074.39,756,7,4,0.43,0
37,36390.0,47708.58,793,11,2,0.95,0
45,53992.0,39973.37,826,18,8,0.42,0
64,36016.0,17843.24,632,14,5,0.0,0
24,41193.0,42989.43,661,27,5,0.94,0
61,30090.0,24457.84,473,15,7,0.01,0
25,87083.0,42290.02,512,11,2,0.66,0
64,21826.0,42029.96,642,19,2,0.32,0
52,25601.0,13499.16,360,17,3,0.47,0
31,28391.0,36551.35,360,21,6,0.55,0
34,47636.0,18078.93,823,11,2,0.41,0
53,21603.0,18387.17,515,15,6,0.77,0
67,38865.0,18335.66,722,24,6,0.93,0
57,39437.0,37650.57,722,27,4,0.09,0
21,25663.0,15342.17,670,19,5,0.8,1
19,42830.0,5040.76,505,10,4,0.13,0
23,21941.0,37185.66,585,21,2,0.08,0
59,20774.0,12703.31,404,19,2,0.96,1
21,38170.0,9701.71,842,13,6,0.49,0
46,15837.0,15688.23,541,1,5,0.15,0
35,12427.0,22095.52,790,12,2,0.57,0
43,47402.0,26415.78,797,13,2,0.26,0
61,61358.0,7005.65,734,5,4,0.46,0
51,28756.0,48675.8,783,11,3,0.62,0
27,26003.0,37222.84,746,6,3,0.87,0
53,60040.0,19543.73,683,3,6,0.0,0
31,20481.0,19341.38,809,27,3,0.21,0
48,18367.0,25184.41,469,26,4,0.1,0
65,51731.0,33181.02,622,6,4,0.1,0
32,36480.0,11586.79,773,12,4,0.95,0
25,61848.0,13501.84,531,10,4,0.94,0
31,12455.0,43674.56,658,7,5,0.75,0
40,18028.0,16531.47,574,26,0,0.64,0
57,36577.0,22108.77,331,18,3,0.85,0
38,44750.0,44207.23,476,1,1,0.06,0
33,55465.0,34841.65,364,20,3,0.12,0
62,39633.0,20377.03,326,17,10,0.32,0
35,39432.0,35766.48,778,25,3,0.83,0
64,29891.0,5885.74,567,20,3,0.47,1
41,80455.0,38103.92,365,9,2,0.5,0
43,20921.0,26915.72,432,28,2,0.23,0
42,43456.0,41593.2,665,5,1,0.65,0
62,22161.0,47958.69,381,23,4,0.89,0
58,47448.0,46660.48,627,21,4,0.33,0
46,21623.0,45916.93,397,3,5,0.62,0
32,52676.0,28047.65,626,18,6,0.33,0
62,38409.0,21206.4,841,13,2,0.79,0
18,86883.0,25926.59,424,13,2,0.47,0
42,31555.0,36045.32,509,17,2,0.34,0
24,44913.0,44779.9,432,28,2,0.42,0
26,24592.0,14314.38,802,16,1,0.09,0
41,31447.0,46318.69,456,17,2,0.87,0
18,38287.0,41683.11,681,17,4,0.96,0
61,16922.0,49048.52,321,4,4,0.48,0
25,17876.0,44611.33,718,8,3,0.22,0
41,49017.0,17597.18,771,0,2,0.66,0
28,33757.0,9768.02,533,3,2,0.45,1
68,26999.0,10050.85,753,25,2,0.25,0
34,25122.0,18105.05,461,6,1,0.04,0
25,25610.0,32638.27,600,10,2,0.89,0
52,38418.0,41194.41,605,13,3,0.8,0
52,45366.0,45466.26,301,9,2,0.83,0
50,12758.0,33068.9,570,18,3,0.44,0
22,73601.0,5253.41,720,7,5,0.75,0
59,71029.0,13384.25,442,2,5,0.58,0
56,11324.0,9487.68,834,7,1,0.37,0
58,62503.0,21349.6,336,28,3,0.84,0
45,61550.0,27560.79,406,17,6,1.0,0
24,36324.0,6952.87,596,4,3,0.9,0
26,18985.0,20681.51,396,19,3,0.78,0
25,60332.0,13063.09,580,10,1,0.75,0
29,32189.0,34118.16,409,8,2,0.65,0
51,47784.0,25892.26,848,18,0,0.85,0
50,110150.0,27289.29,487,11,2,0.49,0
65,41189.0,24246.13,787,26,4,0.18,0
40,22961.0,48020.89,653,4,5,0.77,0
41,30704.0,14663.08,318,15,6,0.92,0
54,24472.0,28249.89,692,25,6,0.34,0
52,45105.0,38120.78,560,24,6,0.78,0
61,24269.0,30058.0,709,12,3,0.27,1
57,28669.0,46805.94,702,5,3,0.94,0
39,19107.0,22008.58,783,15,5,0.68,0
44,33995.0,25865.41,603,17,2,0.57,0
52,39671.0,8983.5,317,16,4,0.78,1
18,9486.0,32404.96,483,11,4,0.81,0
52,41348.0,17969.54,704,26,4,0.89,0
54,35495.0,12213.91,430,0,5,0.9,0
64,24773.0,29503.91,778,6,4,0.05,0
31,100139.0,28953.96,307,13,6,0.12,0
20,58644.0,8414.22,617,27,3,0.83,0
18,20990.0,36419.7,690,17,0,0.95,0
22,55222.0,33069.75,818,22,2,0.31,0
43,67660.0,13505.78,435,0,5,0.01,0
31,38794.0,26124.57,830,19,1,0.32,0
56,43509.0,37414.53,666,9,2,0.38,0
44,43009.0,28824.61,788,14,7,0.76,1
26,12799.0,22797.01,310,28,2,0.05,0
32,33076.0,19505.23,745,10,5,0.21,0
32,32226.0,32467.72,413,3,4,0.89,1
43,74241.0,47259.89,495,14,2,0.15,0
59,42910.0,35228.52,622,20,2,0.76,0
30,31294.0,8363.57,811,29,1,0.36,0
68,34715.0,25730.82,464,15,0,0.66,0
49,60578.0,45087.09,551,29,2,0.07,0
56,33114.0,9250.81,343,25,3,0.29,0
66,25614.0,49499.41,769,14,3,0.42,0
69,31639.0,47708.12,788,16,2,0.86,0
49,58125.0,8522.35,480,22,3,0.56,0
21,46541.0,47003.6,376,10,2,0.05,1
47,37128.0,21340.97,673,17,5,0.8,0
54,39965.0,43011.91,366,27,2,0.05,0
40,27450.0,23827.25,824,15,3,0.93,0
56,32959.0,24838.48,391,26,1,0.21,0
62,26065.0,33540.94,543,14,4,0.49,0
32,31339.0,39851.48,640,28,0,0.07,0
60,71189.0,6520.51,603,10,1,0.56,0
46,21185.0,31692.02,697,12,6,0.5,1
53,25736.0,13402.98,747,17,3,0.41,0
30,19397.0,20567.73,396,7,4,0.04,0
49,17406.0,20658.59,630,8,5,0.88,0
24,33078.0,26107.72,504,21,8,0.8,0
68,26667.0,20036.14,748,10,7,0.63,0
39,87627.0,9831.25,717,16,3,0.57,0
45,31526.0,11553.29,376,0,3,0.69,0
19,69196.0,6504.71,848,29,1,0.14,0
59,58924.0,26161.21,724,10,7,0.93,0
62,32713.0,47950.15,728,6,8,0.28,0
23,104304.0,10205.39,784,7,1,0.66,0
45,41534.0,47581.9,434,18,5,0.61,0
45,77382.0,38001.27,553,24,3,0.64,0
61,73006.0,33687.45,554,3,5,0.88,0
61,44682.0,34037.5,798,3,2,0.3,0
37,52869.0,42202.74,783,18,3,0.75,1
47,49614.0,9811.39,345,23,4,0.6,0
28,20494.0,27713.94,742,8,6,0.08,0
45,37371.0,36369.1,303,16,1,0.41,0
42,62139.0,31406.92,300,17,7,0.84,0
56,77893.0,42475.06,589,0,3,0.32,1
50,25328.0,8252.23,408,13,4,0.48,0
18,47307.0,36081.55,759,3,6,0.49,0
44,39161.0,29031.25,565,9,2,0.62,0
69,34237.0,22062.24,437,22,0,0.88,0
30,43391.0,20312.37,733,13,1,0.17,0
58,40498.0,32937.47,343,6,4,0.5,0
20,47606.0,45094.79,809,11,3,0.42,0
56,74672.0,27327.92,561,21,3,0.3,0
23,53748.0,42112.54,451,28,4,0.92,0
25,42417.0,23097.04,512,26,5,0.01,0
44,92255.0,9607.75,533,15,1,0.12,0
26,63257.0,7767.76,660,4,7,0.73,0
54,34676.0,7310.05,619,10,6,0.26,1
50,19760.0,22106.76,521,3,2,0.72,0
68,22161.0,20175.7,509,27,3,0.83,0
59,57908.0,37307.17,695,12,4,0.25,0
61,26499.0,38426.97,788,29,1,0.19,0
41,21938.0,7288.43,763,7,4,0.15,0
32,24859.0,14950.55,751,6,7,0.2,0
49,25753.0,17341.78,712,10,1,0.27,1
49,55566.0,29642.54,775,10,3,0.87,0
41,33578.0,11503.19,555,25,1,0.77,0
58,18285.0,11027.35,449,16,4,0.0,0
69,36884.0,47470.5,426,21,4,0.87,0
66,40584.0,41189.13,691,13,2,0.08,0
66,28576.0,13129.47,779,1,6,0.66,0
69,64728.0,23295.55,696,19,3,0.15,0
29,29423.0,21002.99,701,20,4,0.06,0
56,63207.0,40595.18,573,7,2,0.76,0
19,48942.0,27959.58,438,21,5,0.47,0
20,57717.0,10753.24,402,26,3,0.6,0
66,20967.0,38254.64,541,1,4,0.43,0
54,38145.0,22859.96,416,20,3,0.07,0
66,35369.0,16831.59,513,14,3,0.74,0
34,17836.0,21897.44,783,4,6,0.82,0
66,63103.0,27399.05,828,5,1,0.04,0
19,24132.0,20440.2,523,16,4,0.38,0
19,26775.0,15885.76,569,7,1,0.56,0
45,21880.0,22932.59,433,18,1,0.61,0
40,51565.0,5862.78,413,4,4,0.58,0
54,16933.0,39762.4,740,22,3,0.69,0
49,49461.0,12692.52,664,18,1,0.97,0
50,61222.0,6975.71,531,13,2,0.39,0
18,47505.0,34416.44,757,9,2,0.56,0
36,51861.0,39827.13,674,12,2,0.7,0
19,53092.0,41622.31,506,21,3,0.59,0
61,22591.0,27207.91,819,4,4,0.39,0
43,74412.0,14241.57,767,6,7,0.62,0
49,28853.0,38175.25,742,9,2,0.65,0
23,35130.0,36487.09,620,10,7,0.58,0
49,30751.0,16082.18,392,2,0,0.21,0
21,46433.0,45653.35,707,12,3,0.51,0
28,27750.0,9696.72,457,29,6,0.88,0
34,37551.0,49220.97,398,1,2,0.87,0
55,19581.0,43711.15,524,3,1,0.75,0
41,65012.0,35955.44,740,2,2,0.7,0
22,50786.0,47243.74,700,14,6,0.15,0
69,31378.0,37504.0,363,3,3,0.46,0
51,28722.0,13570.56,578,22,2,0.11,0
23,50127.0,24897.03,818,20,6,0.82,1
39,25498.0,8217.64,547,3,3,0.29,0
28,38665.0,22534.58,667,29,1,0.77,0
65,64906.0,38372.14,397,14,3,0.81,1
33,24206.0,22389.95,567,5,4,0.89,0
50,43665.0,19863.24,359,22,5,0.75,0
26,42526.0,31791.01,799,27,5,0.56,0
23,34590.0,44249.2,607,29,1,0.6,0
33,28229.0,7141.24,792,26,2,0.32,0
46,66663.0,22346.17,710,4,7,0.18,0
20,26936.0,12120.83,439,11,3,0.13,0
37,14676.0,36290.94,627,6,3,0.18,0
53,50024.0,9757.61,763,2,2,0.93,0
36,19917.0,34916.35,462,6,2,0.16,0
43,51325.0,17878.14,359,11,2,0.72,0
20,70788.0,13951.26,330,14,4,0.18,0
36,49755.0,47135.87,632,18,6,0.98,0
37,62051.0,5833.61,375,29,10,0.37,0
49,99710.0,24699.98,616,5,3,0.41,0
24,58887.0,5973.21,716,7,3,0.4,1
69,42843.0,26761.69,489,28,2,0.82,0
58,82205.0,27547.13,788,5,2,0.22,0
50,87325.0,19474.81,614,25,6,0.83,1
57,87938.0,10947.28,595,26,1,0.66,0
56,28394.0,21937.44,800,2,4,0.22,0
35,18453.0,35251.83,476,27,6,0.07,0
57,27540.0,40207.81,514,4,2,0.77,0
18,51628.0,28883.78,631,8,3,0.22,0
28,39324.0,31542.55,427,23,1,0.89,0
45,32753.0,14027.74,568,15,5,0.13,0
42,48062.0,17929.86,834,21,1,0.62,0
67,17406.0,12285.3,665,15,3,0.69,0
40,38971.0,16218.29,647,8,3,0.66,0
48,63528.0,15119.91,441,17,4,0.32,1
47,47794.0,28375.2,444,12,2,0.88,0
59,51324.0,30320.99,544,10,2,0.77,0
52,80716.0,47522.63,741,24,4,0.51,0
24,35134.0,13800.68,589,9,0,0.6,0
33,26198.0,33875.41,411,28,3,0.57,0
43,65825.0,41776.67,513,9,3,0.95,0
65,65223.0,30210.87,499,5,7,0.9,0
69,48009.0,16475.16,704,15,3,0.24,0
66,33517.0,16814.76,720,24,2,0.26,0
19,36341.0,6766.39,306,11,2,0.98,0
18,19180.0,18744.99,824,3,1,0.24,0
65,63353.0,38507.17,585,4,1,0.95,0
29,62245.0,7138.3,688,1,3,0.65,0
22,18848.0,14868.29,715,18,2,0.05,0
54,56040.0,36780.46,449,0,3,0.34,0
49,44447.0,40219.32,727,3,6,0.48,0
26,21786.0,25489.33,592,11,2,0.83,0
58,19871.0,36413.35,633,1,3,0.33,0
52,43772.0,22457.85,571,11,2,0.31,0
36,29767.0,12196.1,342,15,3,0.92,0
65,90217.0,22916.73,767,1,1,0.08,1
33,58472.0,31098.55,618,16,1,0.55,0
20,46021.0,47662.4,791,25,1,0.5,0
37,47171.0,8093.79,826,27,1,0.06,0
41,70646.0,27832.73,471,1,3,0.09,1
50,55451.0,19801.39,620,3,6,0.38,0
41,46625.0,27874.03,343,5,5,0.13,0
69,22245.0,6078.9,831,28,3,0.48,0
28,167875.0,19086.14,753,27,3,0.61,0
66,20919.0,41894.07,382,22,4,0.69,0
25,31062.0,29927.38,842,6,2,0.55,0
53,15877.0,25276.21,621,22,3,0.38,0
55,47543.0,17848.63,533,14,5,0.13,0
57,39166.0,18411.91,839,19,6,0.25,0
37,53244.0,22239.56,551,11,1,0.42,1
52,15222.0,42600.68,748,4,4,0.92,0
65,63351.0,48524.59,538,13,3,0.2,0
42,24253.0,24739.49,789,15,4,0.41,0
52,33708.0,22700.88,763,10,2,0.73,0
42,57860.0,43094.78,613,11,5,0.71,0
46,41383.0,24210.74,474,18,1,0.97,0
35,42872.0,29840.82,479,16,4,0.19,0
63,54154.0,15392.37,684,29,5,0.02,0
35,44999.0,38457.61,594,23,1,0.32,0
19,30621.0,28939.47,514,25,1,0.15,0
52,33415.0,41406.55,374,26,4,0.55,0
33,40374.0,40132.97,643,6,1,0.9,0
58,23207.0,14675.21,441,29,4,0.69,0
53,59755.0,37203.6,498,8,3,0.14,0
50,41954.0,41002.45,470,13,4,0.12,1
21,37699.0,20574.83,705,25,5,0.91,0
50,65923.0,12767.41,527,19,4,0.49,0
31,34199.0,5118.45,710,11,3,0.92,0
38,33150.0,25290.66,361,14,5,0.74,1
65,28501.0,20859.47,626,11,6,0.99,0
37,43111.0,29970.94,432,20,4,0.87,0
25,42371.0,13461.85,488,20,2,0.41,0
24,26026.0,43684.95,655,28,1,0.76,0
20,33228.0,16598.98,370,22,1,0.47,0
34,26113.0,15189.33,562,12,1,0.23,0
50,25529.0,26632.13,605,8,2,0.24,0
65,15291.0,27448.3,523,23,2,0.4,0
29,32356.0,14678.84,627,6,3,0.11,0
68,15505.0,17233.73,373,29,5,0.18,0
39,28813.0,12636.74,810,0,4,0.5,0
39,26733.0,37330.71,441,27,2,0.95,0
63,61448.0,39654.01,401,9,4,0.58,0
47,21863.0,25804.78,364,28,3,0.41,0
55,24820.0,37133.92,492,5,1,0.24,0
55,30009.0,38117.09,361,25,2,0.2,0
62,27172.0,11222.4,831,14,1,0.66,0
68,72015.0,48478.01,540,14,3,0.85,0
25,20552.0,41946.44,709,8,4,0.4,0
44,30040.0,14201.76,599,12,7,0.55,0
44,42875.0,13377.43,494,22,4,0.71,0
51,56421.0,10654.75,753,0,2,0.06,0
38,30028.0,11227.04,600,8,2,0.35,0
47,13918.0,38667.28,755,2,3,0.73,0
50,33690.0,26134.44,501,29,3,0.68,0
45,71397.0,40232.04,601,8,1,0.05,0
64,41818.0,38581.47,636,19,3,0.24,0
